序号	语料
1		 ꍏꇩ/ns ꍔꃚ/n ꀋꇔ/c ꏓꂱ/n ꏟꈯꃅ/a ꄏꐓ/v ꌚꂷꆹ/ns ꍔꃚ/n ꀋꇎ/c ꇓꐚ/n ꁻꌐ/u ꄚ/r ꀉꁁꋍꑵ/m ꎃꇗꊒꇗ/n 、/w ꀬꅑ/a ꀋꎪ /u ꃄꄟ/n ，/w ꂯ/c ꁢꊧ/p  [ꅽ] (ꃶ)ꊈ/r {ꀋꉊꃀꂽ}ꍆꅉ/u ꊌ/v ꁻꌐ/u ꏣꀋꑌ/a ꃅꐛꅍ/n ꉪꇬ/v ꇬꀖ/a ꃅ/u ꉌꂵꇿ/a 。/w
2		 西亚德/ns ꊝꄫꀉ/n ꃹ/p ꅇꉉ/v ꐧꀠ/nd (ꅇ)ꉉ/v ，/w ꄚ/r ꀒ/vl ꀂ/r ꀉꑌ/m ꀉꁘ/q ꅲꇫ/v  ꆍ/r ꇰꀋꃀ /a ꀊ/u ꇩꏤ/n ꀐ/u ，/w ꀂ/r ꅇꑇ/v ꀒ /r ꑍꂷ ꇩꏤ/n ꁨ/n ꐋꀨ ꇷꃅ/v ꀋꎪ/u ꇺꏣ/n ꀋꎪ/d ꀞ/vu ꀒꁨꋍꁘ/v ꊌ/v ꊋꀥꇱ/v 。/w
3		 ꀂ/r ꀋꃷꎵ/m ꀉꁘ/q ꃚꀋꋊꃅꀘ/v ：/w 沙石峪/ns ，/w ꀨ/d ꋍꑍ/v ，/w ꀂ /r ꀊꅰꃅ/d ꀞ/vu ꁱ/v ꂿ/v  ꅽ /r 。/w
4		 ꇚꑴ/d ꀑꑊ/r ꀞ/vu ꂯꄉ /p ꉠ/r ꉉꄜ/v ꃚꐨꎹ/v ：/w  ꅽ /r ꃹ/p ꄟꏢ/ns ꇫꐥ/v ꂫꇽ/u ꀉꑌꄮ/nt ，/w ꑞꃅ/r ꀉꉙ/d ꁧ/v ꀮꄑ/v ꄟꏢ/ns ꀋꎪ/u ꂿꑘꁡꇤ/n ？/w
5		 ꋌ/r ꅲ/v ꉠ/r ，/w ꉠ/r ꀠ;ꇰ/v ꋌ/r ꉠ/r ꁯ/n ꁨ/v ，/w  ꅽ /r ꀒꋏ/d ꄿꁧ/v ꄻꅐ/v 。/w
6		 "/w ꈍꃅ/m ꁆ/q ꀊꌃꀋꂿꑘ/vu ꌚꃹ/v ꎆꌉꅉ/n ꀋꎪ/u ꀁꃶ/a ꀁ /u ꐋꀋꌡ/a ꀋꎪ/u ꅑꀵ/a ꑍꊰꇌ/n ，/w ꀀꀨ/p ꂴ/v ꀱꇁ/vd ꉘꉚ/v ，/w ꇬ/r ꀋꃋ /nt ꀉꑌ/v ꂫꇽ/u ꄚꇬ/r ꃅꄷ/n ꂿꑘꑶꋦ/n ꀃꅉ/d ꀨꎹ/v ꑍꊰꇌ/n ꀋꈐꀋꉈ/nd ꀋꎪ/u '/w ꁧꀿ/v ꀉꆂ/n ꀨꏠꌠ/n '/w ，/w ꄚ/r  ꅽ /r ꀋꎪ/v ꀉꉙ/d ꀋꎪ/v ？/w "/w
7		 "/w  ꆏ /r ꀃ/v ꇌ/nhf ꈀꄸ/r ？/w "/w
8		 "/w ꀊꄶ/r  ꆏ /r ꊼꇅ/r ꀞꄻ/v ꑱꈐ/n ꊿꆸꒉ/v ꀋꇔ/c ꋍꉻ/n ꒃꅐ /v ꀋꎪ/u ꊫꌐ/n ꀋ/u ？/w "/w
9		 洛德/nh ꄐ/v ꀀ/u ...ꐊ/v ꎺꁱ꒜/n ꀋꎪ/u ꍏꇩ /ns ꀒꁨ/nd ꀀ/v ꂰꇩ/j ꄇꏂ/n 章文晋/nh ...ꄷ/v ，/w "/w  ꅽ /r ꋋꄮ/nt ꀉꄂꀋꉬ/c ꄺꀱ/v ꍏꇩꁱꂷ/n ꁰꄉꌠ/n ，/w ꀊꅰꃅ/d ꄺꀱ/v ꑱꇩꉙ/n ꁰꄉꌠ/n 。/w "/w
10		 ꁖꇁ/v 了/u "/w ꌷ /v ꀂꏽ/v ꄞꅐ ꌶꌺ/n ，/w ꃅꅍ/v ꀂꏽ/v ꁈꅪꌌꁈ/n "/w ꁻꌐ/u  [你] 追我赶/i ꀋꎪ/u ꀊꄖ/a ꃅꌗ/n 。/w
